"indicador","estrato","formulacao","invertivel","loglik","bic","var_e","rrse","vicio"
"taxa","06 - Norte de Minas","MA(3)",FALSE,-99.54,218.8,0.249,39.37,0.01
"taxa","06 - Norte de Minas","MA(4)",FALSE,-105.63,231,0.195,22.49,-0.05
"taxa","07 - Vale do Rio Doce","AR(1)",NA,-86.51,192.8,0,68.1,0
"taxa","07 - Vale do Rio Doce","AR(2)",NA,-91.58,202.9,0,67.58,-0.01
"taxa","07 - Vale do Rio Doce","ARMA(1,1)",NA,-87.19,194.1,1.086,-5.33,-1.74
"taxa","07 - Vale do Rio Doce","MA(1)",TRUE,-87.61,195,0,67.95,0
"taxa","07 - Vale do Rio Doce","MA(2)",TRUE,-94.02,207.8,0,66.85,0
"taxa","07 - Vale do Rio Doce","MA(3)",FALSE,-100.17,220.1,0,65.66,0
"taxa","07 - Vale do Rio Doce","MA(4)",FALSE,-104.98,229.7,0,65.5,0
"taxa","08 - Central","AR(1)",NA,-76.71,173.2,0.684,19.92,-0.32
"taxa","08 - Central","AR(2)",NA,-81,181.8,0.676,20.02,-0.18
"taxa","08 - Central","MA(1)",TRUE,-77.66,175.1,0.662,21.68,-0.26
"taxa","08 - Central","MA(2)",TRUE,-83.87,187.5,0.677,20.14,-0.19
"taxa","08 - Central","MA(3)",FALSE,-89.97,199.7,0.672,19.38,-0.27
"taxa","08 - Central","MA(4)",FALSE,-95.86,211.5,0.659,19.21,-0.37
